kod_chu,DRUH,KOD_LOKAL,POLE,POSLEDNI_NALEZ
CZ0323167,Bombina variegata,amp67/bi,6247c,2023-06-08
CZ0323167,Bombina variegata,amp67/bj,6247c,2021-06-02
CZ0323167,Bombina variegata,amp67/bk,6247d,2021-06-02
CZ0323167,Bombina variegata,amp67/bl,6247d,2021-06-02
CZ0323167,Bombina variegata,amp67/bn,6247d,2022-06-08
CZ0323167,Bombina variegata,amp67/bo,6247d,2022-06-08
CZ0323167,Bombina variegata,amp67/bp,6247d,2022-06-08
CZ0323167,Bombina variegata,amp67/bq,6247d,2024-06-25
CZ0323167,Bombina variegata,amp67/br,6247d,2022-06-08
CZ0323167,Bombina variegata,amp67/bs,6247d,2024-06-25
CZ0323167,Bombina variegata,amp67/bt,6247d,2024-06-25
CZ0323167,Bombina variegata,amp67/bu,6247c,2024-06-25
CZ0323167,Bombina variegata,amp67/bv,6247d,2022-06-08
CZ0323167,Bombina variegata,amp67/bw,6247d,2022-06-08
CZ0323167,Bombina variegata,amp67/bx,6247d,2023-06-08
CZ0323167,Bombina variegata,amp67/by,6247d,2024-06-25
CZ0323167,Bombina variegata,amp67/bz,6247d,2022-06-08
CZ0323167,Bombina variegata,amp67/cb,6247d,2023-06-08
CZ0323167,Bombina variegata,amp67/cc,6247d,2024-06-25
CZ0323167,Bombina variegata,amp67/cd,6247d,2024-06-25
CZ0323167,Bombina variegata,amp67/ce,6247d,2024-06-25
CZ0323167,Bombina variegata,amp67/cf,6247d,2024-06-25
CZ0323167,Bombina variegata,amp67/cg,6247d,2024-06-25
CZ0323167,Bombina variegata,amp67/ch,6247d,2024-06-25
CZ0323167,Bombina variegata,amp67/ci,6247d,2024-06-25
